date_now,layer_1,layer_2,layer_3,layer_4
2020-06-09 14:31:08,11.3453912734985,159.169525146484,42.7449493408203,181.417343139648
2020-06-09 14:31:11,11.7235431671143,159.455963134766,43.0547828674316,181.064590454102
2020-06-09 14:31:14,11.411847114563,159.631164550781,42.4700889587402,181.346069335938
2020-06-09 14:31:16,11.4410390853882,160.806640625,42.2624397277832,181.585494995117
2020-06-09 14:31:19,11.5114154815674,159.416656494141,43.0330238342285,181.203796386719
2020-06-09 14:31:22,11.7406606674194,159.308563232422,42.6691780090332,181.388168334961
2020-06-09 14:31:24,11.4377403259277,159.318908691406,43.2178955078125,181.140609741211
2020-06-09 14:31:27,11.0276517868042,160.075775146484,42.4019203186035,181.471939086914
2020-06-09 14:31:30,11.3182783126831,159.944213867188,42.9275283813477,181.175247192383
2020-06-09 14:31:33,11.7421264648438,159.605041503906,42.6410102844238,181.196243286133
2020-06-09 14:31:35,11.7804613113403,159.250183105469,42.5298271179199,181.443923950195
